title,id,viewcount,likecount,dislikecount,commentcount,favoritecount
Harvard University Class on Veganism | Animals as Commodites,J0-vfvJOzr4,24586,2931,87,1199,0
Harvard Students Argue Against Veganism,M9aAP9RTT4M,63031,3623,150,2215,0
Is this the end?,-j-IrETt0q0,106755,9934,416,2725,0
Brown University Student Won't Accept Veganism: DEBATE A VEGAN,AAHHcq1WwtU,100904,5153,276,3751,0
Have You Ever Thought About This? The Ethics of Pet Ownership | Cornell University,hrwG1BHdHIk,47031,3948,105,1140,0
DEBATE A VEGAN: Brown University Students vs Veganism,xt61p7wVQ3E,83202,5395,110,1690,0
Can You Be a Non-Vegan Environmentalist? In Conversation w/ Jack Harries (The Disclosure Podcast),owTiJhze5b4,61339,3384,68,894,0
Where I Am/What I'm Doing,lqNb1BxAJns,29388,4020,71,777,0
My TEDx Talk is Now Live!,gaUPWYTpsoM,23975,2216,42,349,0
The Livestock Haulier Who Let Joaquin Phoenix Go Undercover in His Pig Truck,KmvCYqFvjiQ,10351,654,18,214,0
Teaching 10 Year Olds About Veganism,VkyxsTrDqvE,85917,10154,804,2796,0
Inside the Mind of an Undercover Investigator (The Disclosure Podcast - Episode 6),5WtfU8Jw6io,13238,918,17,328,0
DEBATE: Vegan Activist Meets Irish Dairy Farmer (The Disclosure Podcast - Episode 5),WFdgfSuzWwI,58122,2501,75,1904,0
200 Vegan Activists Occupy British Pig Farm | MEAT THE VICTIMS,PTtd_NS9-Q4,40212,3898,283,2113,0
Are Backyard Eggs Ethical? + Staying Calm & My Non-Vegan Family (The Disclosure Podcast - Ep 4),UMLZevCwXC4,26175,1535,40,880,0
Vegan and Butcher Live BBC Debate,4A5ncMJ_Dek,195847,9236,713,3315,0
The Dark Confessions of an Ex-Animal Farmer (The Disclosure Podcast - Episode 3),RE8LF3iP6AA,21066,1406,20,502,0
"""All Vegans Should be Punched in the Face""",-6oE5k9MZ0I,33245,3553,73,1456,0
Dairy Industry Threatens Independent Vegan Cheese Shop,7tnG6s80V8A,38417,4711,90,1275,0
The Media Bias Against Veganism - The Disclosure Podcast (Episode 1),yWdkC8ExuUk,45431,4073,53,762,0
"Vegan vs Sheep Farmer: ""Sheep are the Ultimate Renewable Technology""",KnBtYtuYxJ0,98918,6088,207,2243,0
2019 ANNOUNCEMENT & Thoughts on Sausage Rolls,mqngRRVwf1o,43407,5072,85,1185,0
CHANGE STARTS WITH YOU,CIWeiPS8OJQ,34697,5068,84,1065,0
You Can't Love Animals and Eat Them | Change My Mind Part #2,PrKAycD7LRo,51980,2450,66,1491,0
You Can't Love Animals and Eat Them | Change My Mind,lP3qJ6h0zyI,96202,5305,175,2600,0
LIVE TV Debate - Why Are Vegans So Easily Offended?,Ilx7ykI-6FI,62538,5539,65,1266,0
We Should All Be Vegan | Change My Mind Part #2,FlorUfyPso0,45810,2583,62,1350,0
We Should All Be Vegan | Change My Mind,zs_UTC9f1YE,195732,9708,574,6110,0
BIG BIG NEWS!,i5iVrxZxkcE,52022,5847,174,1527,0
Texan Cowboys Meet Vegan Protesters,WPhLJIf4HZI,458752,8391,8376,15039,0
Heated Debate on Veganism Outside of a Slaughterhouse,Exz5BfrMdnw,114835,4936,250,3606,0
The Change That is Coming | Speech at The Official Animal Rights March 2018,YjQMUIcI9BU,38768,4706,108,1823,0
Public Debate: Veganism Doesn't Matter,OlYPEpR6E0o,117814,5326,186,4497,0
Vegan VS InfoWars (FULL DEBATE - DELETED BY FACEBOOK!),ScbeMdYkKDc,357374,17704,877,11584,0
American Public Confronted by Vegan Protest,_tAauYGD5iU,145330,8785,283,2071,0
Basketball Fan on a Mission to Debunk Veganism,N51yFypvUyA,128021,7265,176,5086,0
Christian Outraged by Vegan Protest,Xo-OzbZxmho,141326,6332,197,4329,0
Bringing Veganism to Hollywood Boulevard,cRa1yffuKK4,76111,5600,86,1169,0
Human Rights Activist Disrupts Vegan Event,ZXu74W8A8BQ,102476,8471,133,2122,0
Vegan Takes on Venice Beach - Part 2,95O-WMpe7LQ,44325,3274,43,910,0
Vegan Takes on Venice Beach,0trBUN0V49I,70471,5100,83,1118,0
Under 10 Minutes to Change His Mind on Veganism,Oe0k5uAw8ew,78286,6103,57,905,0
Update & Gratitude,FupkKal15NI,20538,2274,44,507,0
Vegan vs Fisherman,hZaHZgVgHN8,96299,4311,492,1991,0
You Will Never Look at Your Life in the Same Way Again | Eye-Opening Speech!,Z3u7hXpOm58,2778772,48272,1130,7822,0
British Vegan VS American Hunter,To2vMMi653U,89083,5155,171,1558,0
Vegan Visits UK Pig Farm,beZolR1nxj8,33176,2684,121,883,0
"""THIS IS EXTREME"" | Student Flips at Vegans",_PVPoRqZ-sA,322778,13232,814,5279,0
Vegan Preaches at Uninterested Public,i65fOjfiC0M,57976,3528,91,929,0
I'm Not the Same Person That I Used to Be (Tour Vlog),0yLyMA_fhLA,70703,5744,63,1064,0
UK Public is Confronted with The Truth,584kTpqCRlo,47102,2985,68,491,0
Meat Eater Breaks Down After Seeing the Truth,py9hgHOcEr4,349022,17936,509,2989,0
Will We Ever See a Vegan World?,tawFvfeHhQ0,35404,3773,111,751,0
Vegan VS Dairy Farmer (Live BBC Debate),ykbPLogCJs8,144875,5221,262,1258,0
One Person Can't Make a Difference,d6fG1my3SFg,21097,2109,27,226,0
God Says That I Can Eat Animals,2-R1yJeFtHE,27211,2239,59,591,0
My Friends and Family Will Judge me if I go Vegan (Advice on Going Vegan),oSlm3-7uriM,16485,1300,16,339,0
We're Omnivores/We Have Canine Teeth,Hq23d8aI5LE,19600,1314,49,470,0
Going Vegan is Expensive and Restrictive,Vs_nXVmyP1E,21032,1663,28,366,0
Soya Farming is Destroying the Environment,SzOeOfNFpts,17066,1461,27,178,0
Animals Are Bred to be Killed,_L84EXgRVhY,12618,860,19,279,0
Eating Animals is the Circle of Life,iL5M6Kc27SU,15188,1090,27,385,0
What About Farmer's Jobs?,l3-OxcOlMJ0,13322,1058,32,198,0
Hitler Was a Vegetarian/I Once Met a Mean Vegan,8rzdZqjCDdo,20153,1399,28,213,0
Being Vegetarian is Enough,uWna6-niYEg,24535,1780,22,421,0
What if a Vegan Was Stranded on a Desert Island?,eqAiCOzHAPY,17293,1495,8,245,0
You Can't Be 100% Vegan,1nDCx8AdZKI,24327,2059,24,276,0
Everything in Moderation,Z-S21l0Xa_s,17987,1474,26,288,0
Morality is Subjective,xG4CHQdrSpc,15543,1165,51,362,0
Can't We Just Improve the Welfare of Animals?,02GNr5DnPCk,15866,1347,27,293,0
Why Farmed Animals Should be Grateful,pueLyA1lIcA,10584,1028,20,121,0
We Are More Intelligent Than Animals,-6qhtS5moFM,12536,1080,25,315,0
Humans Are at the Top of the Food Chain,-truOzeWBR8,20087,1532,52,213,0
Do Animals Feel Pain?,nIP5Yrqdugc,13562,1094,17,218,0
Plants Feel Pain,EqUFqaeZA2g,31723,2283,62,500,0
Human Rights Issues are More Important Than Veganism,G66fBppXw4I,22770,2078,27,319,0
"If the World Went Vegan, What Would Happen to the Animals?",1M1fKxjlLV4,25758,1534,34,209,0
