title,id,viewcount,likecount,dislikecount,commentcount
Fake Park Ranger Prank!,FUy6AluKao8,2062979,139454,1224,13122
We Completely Ruined A Wine Tour... (ARRESTED),J8x_eDLLwgI,2885443,226497,3888,16947
BEEFING Warriors Fans In Oakland! (FIGHT),yusqkd2dIHU,2524487,117016,4593,11852
Selling Fake Items to Hypebeasts! ft. Cody Ko & Noel Miller,lrbEsIdNgik,2237773,100476,2452,6620
Top 10 Most Savage Pranks of ALL TIME,p6_nDbRnsqA,1569364,123994,854,9276
BEEFING SoundCloud Rappers ft. No Jumper,O4gT6Pex7Ns,2681741,172492,1401,8595
Fake Pilot At The Airport Prank!,sBzRAGH07QQ,2477825,231270,1638,9407
Fake Security At Hollywood's Hottest Night Club Prank!,vWq-AmW_4fg,2722630,134450,1463,7951
Spoiling Avengers: Endgame At The Movie Theatres!,32FcnngcEWI,3246849,128670,11281,12961
Rejecting Instagram Models at Coachella Parties!,3lmCmbjRwFo,3540710,123980,3015,8889
Trying To Use Monopoly Money At A Vegas Casino!,5eLm4lUK4Ww,2719932,77602,1098,4404
Fake Waiter At A Restaurant Prank!,e003aQsKHHk,2588803,98567,2489,7404
Using Obviously Fake ID's At Bars!,FmrBQcuwdiI,2900076,118858,1690,9788
EXTREMELY Embarrassing Phone Calls In Public! (WARNING NO SNOWFLAKES),WB4cIwYRZ8A,2369263,95390,1488,6288
Aggressively Vaping In People's Faces,8XHarejxiss,3629913,128995,3852,9494
TYPEWRITER IN LECTURES PRANK!,gLtRJNL_BMU,2755685,110116,2143,7750
Fake Mall Cop Prank!,oDgJPWKOwFc,2878031,116111,2020,6972
NELK goes to court... (JESSE GOT SENTENCED),IRa2jK1Rqm0,3028521,99397,2275,7898
The Most Savage Pranks of 2018!,VNwkZ8kY7Uk,8738598,109069,4305,4831
SMOKING WITH A FAKE BABY PRANK!,6cagvhb94ek,1342209,44624,1078,3391
5 Ways To Compliment Boobs!,Taa9_aN8Jn0,1184448,61675,707,2615
WATCHING VR PORN IN THE LIBRARY PRANK!,mceeuS0Fctw,1245007,50013,1139,3051
HITTING BACKWOODS IN LECTURES PRANK!,wL1m66kxfwk,1271440,51519,803,4501
CRASHING A Fans Thanksgiving Dinner...,tWhQxpEr6kc,1213257,46128,632,4080
Asking An Undercover Cop For A Shotgun...,26hjXN3KBlQ,2339839,66514,1867,4320
Transgenders For Trump Prank! (STUDENT GETS TRIGGERED),FPriOXot7k0,1869705,77276,1581,9120
Jesse from NELK is in JAIL..,nwH_PahpWi4,2835898,107696,3470,18708
WATCHING PORN ON THE SUBWAY PRANK!,pTJB-mHG1Ps,1277328,50433,673,4839
BEEFING Tennis Players!,fURwsw4RZdI,1306803,47170,799,3312
Eating Meat In A Vegan Restaurant Part 2!,oxRJgQfY3bk,1831687,65920,2190,6749
DRINKING IN LECTURES PRANK!,6u6OWstYUts,1841805,58223,711,3328
Fake Forever 21 Employee Prank!,qKNPEE2xAGw,1547315,60202,860,3628
HITTING BOWLS IN LECTURES PRANK! Ft. VitalyzdTv,BaZ5cvtNiZQ,2678459,96680,5366,8587
FAKE ICE CREAM TRUCK EMPLOYEE PRANK!,ASRxDV1iEVE,2660479,90229,1758,7323
Shotgunning Beers In Front of Cops Prank!,bKT3vOeopXM,1442747,48652,873,3065
PRANKING A FAN AT OUR MEETUP!,bZeJv13Weyc,735244,27279,782,2834
Fake NIKE Store Employee Prank!,M7g30VigrMc,2262837,58390,1095,2979
Fake Dick's Sporting Goods Employee Prank!,Xa2XDY1Ja20,4083677,95938,2223,7098
HITTING BACKWOODS IN TARGET PRANK!,DTQlBIvvd6g,1497499,51485,870,4184
HITTING BOWLS IN WALMART PRANK!,GXjKuEl4Suc,1648771,58419,977,3465
DROPPING FLAT SCREEN TV'S PRANK!,80pR_3Fz18s,2255318,82883,2028,5480
BUYING EXTRA SMALL CONDOMS PRANK,QxUNCxah5b8,2674755,82544,2385,4562
LOWBALLING CAR SALESMAN PRANK!,vOgQcUh_ht0,2086883,78250,1207,3050
BEEFING Fighters In The UFC Gym!,xfJQKE2sg64,2408202,78222,1335,3458
Screaming On The Golf Course! (INSANE REACTION),ceeBF411mXk,2127671,101877,1447,5428
Eating Meat In A Vegan Restaurant!,tYWD_PdKxaQ,5013672,142173,18395,19030
Pretending To Be Construction Workers Prank!,b8q6Rssr86A,2391803,59347,1907,3918
