title,id,viewcount,likecount,dislikecount,commentcount,favoritecount
Fake Park Ranger Prank!,FUy6AluKao8,2067364,139542,1224,13129,0
We Completely Ruined A Wine Tour... (ARRESTED),J8x_eDLLwgI,2888757,226561,3895,16956,0
BEEFING Warriors Fans In Oakland! (FIGHT),yusqkd2dIHU,2525631,117033,4593,11852,0
Selling Fake Items to Hypebeasts! ft. Cody Ko & Noel Miller,lrbEsIdNgik,2238538,100486,2452,6620,0
Top 10 Most Savage Pranks of ALL TIME,p6_nDbRnsqA,1569960,124003,855,9279,0
BEEFING SoundCloud Rappers ft. No Jumper,O4gT6Pex7Ns,2683108,172525,1402,8596,0
Fake Pilot At The Airport Prank!,sBzRAGH07QQ,2478947,231298,1638,9407,0
Fake Security At Hollywood's Hottest Night Club Prank!,vWq-AmW_4fg,2723466,134464,1463,7950,0
Spoiling Avengers: Endgame At The Movie Theatres!,32FcnngcEWI,3247881,128680,11280,12960,0
Rejecting Instagram Models at Coachella Parties!,3lmCmbjRwFo,3541520,123986,3015,8889,0
Trying To Use Monopoly Money At A Vegas Casino!,5eLm4lUK4Ww,2720844,77610,1098,4404,0
Fake Waiter At A Restaurant Prank!,e003aQsKHHk,2589726,98573,2489,7404,0
Using Obviously Fake ID's At Bars!,FmrBQcuwdiI,2900767,118867,1690,9788,0
EXTREMELY Embarrassing Phone Calls In Public! (WARNING NO SNOWFLAKES),WB4cIwYRZ8A,2369699,95397,1488,6288,0
Aggressively Vaping In People's Faces,8XHarejxiss,3630546,129008,3852,9494,0
TYPEWRITER IN LECTURES PRANK!,gLtRJNL_BMU,2756206,110119,2143,7750,0
Fake Mall Cop Prank!,oDgJPWKOwFc,2878668,116116,2020,6972,0
NELK goes to court... (JESSE GOT SENTENCED),IRa2jK1Rqm0,3028968,99406,2275,7898,0
The Most Savage Pranks of 2018!,VNwkZ8kY7Uk,8740122,109081,4306,4833,0
SMOKING WITH A FAKE BABY PRANK!,6cagvhb94ek,1342410,44628,1078,3391,0
5 Ways To Compliment Boobs!,Taa9_aN8Jn0,1184577,61676,707,2615,0
WATCHING VR PORN IN THE LIBRARY PRANK!,mceeuS0Fctw,1245182,50015,1139,3051,0
HITTING BACKWOODS IN LECTURES PRANK!,wL1m66kxfwk,1271596,51520,803,4502,0
CRASHING A Fans Thanksgiving Dinner...,tWhQxpEr6kc,1213586,46136,632,4080,0
Asking An Undercover Cop For A Shotgun...,26hjXN3KBlQ,2340217,66519,1867,4320,0
Transgenders For Trump Prank! (STUDENT GETS TRIGGERED),FPriOXot7k0,1870028,77280,1581,9121,0
